iter	Logloss
0	0.5966438045
1	0.5299481421
2	0.4737849041
3	0.4251342684
4	0.3912643133
5	0.3649698912
6	0.3407251657
7	0.3250669595
8	0.31032824
9	0.300144697
10	0.2919025089
11	0.278761726
12	0.2705908933
13	0.2655890924
14	0.261035297
15	0.2576811373
16	0.2544136888
17	0.2515639767
18	0.2475295488
19	0.2445630213
20	0.242273359
21	0.2400050549
22	0.236742899
23	0.2347188768
24	0.2327817526
25	0.2315225556
26	0.2300983868
27	0.2271860666
28	0.2238655293
29	0.2209942008
30	0.2188512122
31	0.2169663526
32	0.2158969629
33	0.2146993212
34	0.2132964125
35	0.211844046
36	0.210658548
37	0.2091343179
38	0.2080305179
39	0.2065345277
40	0.2050773678
41	0.2021577329
42	0.2012273
43	0.200201172
44	0.1976669775
45	0.196573165
46	0.1952415501
47	0.1943082021
48	0.1935414108
49	0.1927874083
50	0.1918957153
51	0.190595653
52	0.189727831
53	0.1883245224
54	0.1870497362
55	0.1860685599
56	0.1853333047
57	0.1842631655
58	0.1831735255
59	0.1822292725
60	0.1815621952
61	0.1808474822
62	0.1800210029
63	0.1794347232
64	0.1786484215
65	0.1781731279
66	0.1768449457
67	0.1762440392
68	0.1755323492
69	0.174967698
70	0.1735706999
71	0.172986788
72	0.172242601
73	0.1712572542
74	0.1705621761
75	0.1699867078
76	0.1693934158
77	0.1687646828
78	0.1675519097
79	0.1666906687
80	0.1661923834
81	0.165698772
82	0.1650516727
83	0.1645811982
84	0.1630707649
85	0.1625149194
86	0.1619204598
87	0.1611609662
88	0.1605469944
89	0.1590063996
90	0.1585393948
91	0.1578250261
92	0.1572104616
93	0.1565636506
94	0.1555970533
95	0.1542108588
96	0.1535697517
97	0.1529116904
98	0.1524780986
99	0.1514043307
100	0.1508484075
101	0.1502666118
102	0.1495710945
103	0.1482812723
104	0.1476622476
105	0.146241683
106	0.1456927083
107	0.1451371223
108	0.1445030958
109	0.1438776124
110	0.143266767
111	0.1426798891
112	0.1420767423
113	0.1411910726
114	0.1402793592
115	0.1391564293
116	0.1383000515
117	0.1376402003
118	0.1371816459
119	0.1365914472
120	0.1359734553
121	0.1353534692
122	0.1348980685
123	0.1343635683
124	0.1338957099
125	0.1327233451
126	0.1318600105
127	0.1307278682
128	0.1302332666
129	0.129707133
130	0.1290542342
131	0.1286932327
132	0.1283114977
133	0.1274270206
134	0.1269522995
135	0.1255832533
136	0.1245084857
137	0.1232163676
138	0.1228101855
139	0.1221894633
140	0.1218515415
141	0.120679069
142	0.119857018
143	0.1191929857
144	0.118655121
145	0.1181976618
146	0.1176784229
147	0.1171981888
148	0.1163400976
149	0.1160926526
150	0.1157227603
151	0.1150344279
152	0.1147690663
153	0.1143578145
154	0.1137622443
155	0.1132503943
156	0.1128550338
157	0.1124375649
158	0.1120364721
159	0.11172382
160	0.1110564
161	0.1106414171
162	0.1100731794
163	0.109565855
164	0.1093656101
165	0.108638344
166	0.1078353137
167	0.1073804278
168	0.1070587194
169	0.1066910984
170	0.106206826
171	0.1058553282
172	0.1054468863
173	0.1050310856
174	0.1047302203
175	0.1043496145
176	0.1039132885
177	0.1032776457
178	0.1029880935
179	0.1026777848
180	0.1023341857
181	0.1019019296
182	0.1015933102
183	0.1012697058
184	0.1008925897
185	0.100537925
186	0.1002120265
187	0.09974058746
188	0.09944830981
189	0.09919589352
190	0.0987738558
191	0.09832956262
192	0.09794056433
193	0.09737100623
194	0.09707773604
195	0.09675629983
196	0.09628519853
197	0.09597802884
198	0.09572477647
199	0.09537016721
200	0.09504462246
201	0.09458580918
202	0.09426853703
203	0.09362745806
204	0.09326658153
205	0.09305747177
206	0.09280870668
207	0.09258332176
208	0.09238622654
209	0.09209147765
210	0.09173642586
211	0.09130439429
212	0.09103416033
213	0.0907474462
214	0.09006948218
215	0.08967729404
216	0.08920558294
217	0.0885126117
218	0.08801252277
219	0.08773750491
220	0.08748169957
221	0.0867649496
222	0.08652629846
223	0.08624404855
224	0.08606002782
225	0.0857050055
226	0.08543807136
227	0.08518119679
228	0.08493695267
229	0.08456371595
230	0.0844245913
231	0.08410314092
232	0.08376149188
233	0.0833266828
234	0.08311815624
235	0.0828081706
236	0.08255833327
237	0.08228103524
238	0.08214933354
239	0.08185942199
240	0.08162325013
241	0.08122790883
242	0.08084190067
243	0.08059162526
244	0.08031568332
245	0.08004214541
246	0.07967423487
247	0.07939493809
248	0.07918587776
249	0.078914944
250	0.07865272222
251	0.07830135696
252	0.0781117028
253	0.07794080558
254	0.07778514584
255	0.07736926676
256	0.07692558971
257	0.07669023721
258	0.07640930782
259	0.07615349926
260	0.07589754724
261	0.07553235241
262	0.0752813929
263	0.0750626132
264	0.07472751173
265	0.07433923568
266	0.07414535249
267	0.07402307629
268	0.07382339574
269	0.07350593974
270	0.07326763995
271	0.0729655904
272	0.07261159302
273	0.07235271619
274	0.07215456935
275	0.07196842528
276	0.07162541601
277	0.07148036874
278	0.07131703723
279	0.07113774579
280	0.07076747654
281	0.07051790133
282	0.07031255249
283	0.0701610668
284	0.06998635345
285	0.06979241383
286	0.06948572195
287	0.06920951273
288	0.06892540734
289	0.06864687045
290	0.06848956409
291	0.06827449001
292	0.06804994307
293	0.06783137524
294	0.06770379444
295	0.06746691421
296	0.06716197766
297	0.06691357451
298	0.06677422455
299	0.06655298235
300	0.06633627903
301	0.06598698307
302	0.06571646722
303	0.06529760749
304	0.06506385734
305	0.06482930213
306	0.06464995836
307	0.06441664004
308	0.06418973839
309	0.06393072373
310	0.06371360063
311	0.06354831599
312	0.06341359561
313	0.06307659258
314	0.06290012097
315	0.06269416303
316	0.06250288574
317	0.06231312543
318	0.06213175096
319	0.06189528163
320	0.06173277175
321	0.06147616749
322	0.06127318409
323	0.0610268832
324	0.06090752085
325	0.06067126445
326	0.06052252385
327	0.06029399832
328	0.06009731507
329	0.0597860642
330	0.05954707386
331	0.05938472641
332	0.05905601622
333	0.05884210419
334	0.05861515809
335	0.05840762158
336	0.05803022681
337	0.05783456295
338	0.05741824559
339	0.05724958627
340	0.05704239879
341	0.05691218982
342	0.05676847796
343	0.05657207939
344	0.05643940289
345	0.05630186072
346	0.05610965353
347	0.05590878114
348	0.0557696566
349	0.05561329235
350	0.05539732645
351	0.05531871565
352	0.05503299234
353	0.05487235462
354	0.05467551827
355	0.05454791804
356	0.05433543637
357	0.05419552218
358	0.05400931068
359	0.05388204141
360	0.05375594519
361	0.05366480256
362	0.05337761025
363	0.05323697305
364	0.05307293531
365	0.05287339628
366	0.05273370417
367	0.0525977973
368	0.0524374745
369	0.05230614464
370	0.05201609829
371	0.05188230886
372	0.05172691538
373	0.05159839003
374	0.05140997532
375	0.05119486695
376	0.05092544623
377	0.05065169187
378	0.0505115052
379	0.0503959705
380	0.05005359079
381	0.04993504104
382	0.04972491037
383	0.04956858402
384	0.04943870429
385	0.04917513436
386	0.04904311028
387	0.04889491544
388	0.04874958902
389	0.04862539075
390	0.04850151825
391	0.04838585052
392	0.0481847171
393	0.04799083479
394	0.04780919089
395	0.04764485058
396	0.04742921749
