iter	Passed	Remaining
912	2990	284
913	2993	281
914	2997	278
915	3000	275
916	3003	271
917	3007	268
918	3010	265
919	3013	262
920	3016	258
921	3020	255
922	3023	252
923	3026	248
924	3029	245
925	3033	242
926	3036	239
927	3039	235
928	3043	232
929	3046	229
930	3049	226
931	3052	222
932	3056	219
933	3059	216
934	3062	212
935	3066	209
936	3069	206
937	3072	203
938	3075	199
939	3079	196
940	3082	193
941	3085	189
942	3089	186
943	3092	183
944	3095	180
945	3099	176
946	3102	173
947	3105	170
948	3108	167
949	3112	163
950	3115	160
951	3118	157
952	3122	153
953	3125	150
954	3129	147
955	3132	144
956	3135	140
957	3138	137
958	3141	134
959	3145	131
960	3148	127
961	3151	124
962	3155	121
963	3158	117
964	3161	114
965	3165	111
966	3168	108
967	3171	104
968	3175	101
969	3178	98
970	3181	95
971	3185	91
972	3188	88
973	3191	85
974	3195	81
975	3198	78
976	3201	75
977	3204	72
978	3208	68
979	3211	65
980	3214	62
981	3217	58
982	3220	55
983	3224	52
984	3227	49
985	3231	45
986	3234	42
987	3237	39
988	3241	36
989	3244	32
990	3247	29
991	3250	26
992	3253	22
993	3256	19
994	3259	16
995	3262	13
996	3265	9
997	3268	6
998	3271	3
999	3275	0
