ID,AbilityUsed,AlertPercent,AssistNum,BattleDamage,BattleNum,CHPrecision,DamageTaken,ExposePercent,HeroId,HitDistance,KillNum,LifeTime,PlayerScore,Precision,RotationMaxRange,RotationSpeed,RotationStability,SelfHealing,TeamRank,TotalCausedDamage,TravelSpeed,WeaponChange,WeaponDiversity,WeaponVariance,t_battle,isCheater,group
2856469-41779997_cogm4qf1ha8chruqcnj0_1713463913_2.2.0.1.800287,0.0754185545288355,0.7918170233011208,1,188.202,10,0.183,803.0,0.10358911565734,100006,3455.873206183575,5,635.37,36.53,0.3399999999999999,36.55800000000001,41.43439137892592,109.9763807892284,153.0,6,1882.02,204.2546600110074,8,2,0.0044928848981306,14.474099999999996,1,51884
2856469-40463997_cojkqrbuk65poe1onj8g_1713851757_2.2.0.2.801109,0.0551825857761505,0.6149155296064595,6,292.2225,8,0.09125,77.4,0.2530558920458633,100006,2444.5624824246315,14,631.8,59.31,0.41375,79.44125,56.43103102757364,189.2020533697688,0.0,1,2568.58,328.30158088814306,8,4,0.0082421677163345,21.421624999999995,1,46626
2856469-21443971_coh439juk65poe7ccs30_1713521062_2.2.0.1.800287,0.083394878292855,0.6990477213025538,5,256.665,12,0.2525,709.89,0.159584577809424,100006,2697.188831723832,11,757.18,64.16,0.3916666666666666,36.55,34.741444662982666,89.20888628968414,143.0,1,3239.99,377.5345832349845,12,4,0.0009890538392441,17.883916666666668,1,15662
2856469-42653678_cohte3ruk65poe06h9o0_1713624847_2.2.0.2.801109,0.0083718438148817,0.8264987532405351,0,288.99666666666667,6,0.305,578.4,0.0301327898920888,100027,3218.537506765288,6,550.94,33.94,0.54,35.53666666666667,27.732570679605114,79.59167468564625,39.0,9,1733.96,115.34910541304656,4,4,0.0682143001324231,18.14850000000001,1,61394
2856469-30806924_cojsotbuk65poe1vanu0_1713884277_2.2.0.2.801109,0.1080276721152862,0.7897133233504388,12,164.44166666666666,12,0.1933333333333333,1099.0,0.0705334056365883,100025,1949.421980368662,6,1126.62,60.27,0.3058333333333333,37.51333333333334,41.94119722066567,101.18927117603782,190.0,2,2327.3,192.05365642564723,12,6,0.028542549453708,19.344666666666672,1,28700
2856469-27260833_coiumrruk65poe16kh70_1713761135_2.2.0.2.801109,0.1583304343386077,0.8102021953101138,0,70.33333333333333,3,0.11,1452.0,0.1386407154218081,100027,2681.827777777778,1,572.73,13.64,0.27,44.3,53.62438220583693,129.27086534712546,627.0,3,299.0,31.72192496695784,6,3,0.0039506172839506,10.918666666666669,1,23761
2856469-42153284_cok2jnbuk65poe246prg_1713908189_2.2.0.2.801109,0.0091514235749866,0.8891232833306544,4,220.50923076923075,13,0.1361538461538461,152.78,0.0303728283988467,100013,4353.975720612721,16,892.68,73.32,0.3861538461538461,32.43923076923077,23.001468022979893,78.01195872302529,54.0,1,3167.67,229.299877117928,7,5,0.0238386094489502,19.904615384615376,1,54460
2856469-23764526_coh8tpbuk65poe7hv380_1713540837_2.2.0.2.801109,0.0565681094869837,0.8637222474680893,2,62.67142857142857,7,0.0157142857142857,634.38,0.0222500265323022,100025,3527.5335941043086,2,275.59,12.67,0.2057142857142857,42.951428571428565,42.78564116031067,112.82741818017656,103.0,11,576.4,115.54445296675844,6,4,0.1295209086675433,13.052999999999995,1,19151
2856469-42530545_cogkf0f1ha8chruocc8g_1713457025_2.2.0.1.800287,0.0113102535065955,0.8458721563996315,0,197.42857142857144,7,0.1957142857142857,211.43,0.0348638472104577,100006,4649.396047619047,5,1082.44,43.13,0.3442857142857143,37.76285714285715,29.304619802417907,100.4084285275368,191.0,1,1474.0,213.0237096741693,11,5,4.833809419696866,22.04314285714288,1,58250
2856469-25574731_cojtf9juk65poe2012mg_1713887142_2.2.0.2.801109,0.0997080739436696,0.8327656010051654,0,254.5,2,0.12,402.2,0.0208711433756805,100027,476.7919047619048,1,127.01,8.58,0.435,53.68499999999999,75.15075774133484,168.98822580892295,0.0,11,581.0,78.12637045183294,3,2,6.944444444444442e-05,14.835000000000008,1,21523
2856469-41809232_coh31obuk65poe7bdjig_1713516769_2.2.0.1.800287,0.0425737773125932,0.7296912421329242,0,245.3,4,0.32,481.0,0.1430289190540914,100024,692.3401054987212,3,257.21,20.19,0.46,48.2475,55.64748062790988,131.8045325155924,31.0,9,1254.2,253.0864733755966,3,2,0.0132133752085395,15.799250000000004,1,52061
2856469-38083921_col76fditd9mo57u2j8g_1714058045_2.2.0.3.804910,0.1408290506812592,0.6855228282403724,0,155.70785714285714,14,0.1464285714285714,1176.06,0.1759325081312073,100006,2767.6331748344824,12,958.48,56.79,0.315,44.70642857142858,42.89908650928807,119.12713936674976,84.0,2,2199.91,295.4060296665539,12,4,0.002219954964881,15.81621428571428,1,41055
2856469-19037152_col7jjlitd9mo57ue080_1714059726_2.2.0.3.804910,0.0658791298683409,0.5327282096319137,0,471.005,12,0.1925,492.06,0.3054092622659087,100006,1483.0954417507537,24,930.45,112.03,0.4041666666666666,41.02833333333333,37.84359294896754,98.78863901666978,41.0,1,5894.06,459.8994627078811,18,3,0.0007449660371784,25.117833333333326,1,11780
2856469-12097765_cohgg8juk65poe7pb4q0_1713571874_2.2.0.2.801109,0.0349496728519665,0.7329870094472738,5,154.46875,8,0.08875,781.44,0.1853983430092339,100018,1560.9440848214283,8,946.3,50.49,0.58875,60.88625,57.9885958748725,177.33418232620812,292.0,1,1850.75,340.0014387063107,12,2,0.0201464669347934,12.861500000000031,1,3352
2856469-36406251_coio5aruk65poe11e55g_1713734315_2.2.0.2.801109,0.0763462616709693,0.7633174692988176,5,339.74625000000003,8,0.14875,619.5,0.1000670393430294,100025,3283.586300765306,10,652.31,61.99,0.4625,40.38875,39.57402825950136,92.14005733854827,164.0,1,3335.16,241.63619867503385,8,3,0.0053474313429995,22.013750000000023,1,38182
2856469-13100508_cogd4ff1ha8chrufrg70_1713427005_2.2.0.1.798577,0.0437981779957953,0.7550471063257066,0,477.0,1,0.26,398.0,0.0955585464333782,100025,1406.7562962962963,2,145.5,9.76,0.44,105.13,60.22898516681822,209.96754745169787,0.0,23,530.19,0.0,2,2,0.0060092542515473,22.832,1,4690
2856469-39237486_cogd4ff1ha8chrufrg70_1713427005_2.2.0.1.798577,0.0806895882636518,0.6819036075551562,3,281.9871428571429,7,0.1171428571428571,710.7,0.1711832161397004,100025,2452.823514994931,6,967.72,50.97,0.2957142857142857,58.60714285714285,62.15158998205212,148.8316140626235,155.0,1,2144.91,342.63948233077923,11,3,0.0030965001535199,22.3534285714286,1,43580
2856469-25872792_cokg653uk65poe2e96bg_1713963796_2.2.0.2.801109,0.1365914336788536,0.6335589256047226,7,272.7633333333333,12,0.2191666666666666,1287.98,0.2095734224307562,100006,804.6530161296031,9,1081.0,71.77,0.3066666666666667,82.96666666666667,84.92161201567761,207.0640185657369,383.0,1,3291.16,262.67078007820163,17,2,0.0002110758611657,21.494916666666672,1,21864
2856469-29087309_col0ufo6m0l5rveaoiv0_1714032447_2.2.0.2.801109,0.0662314544765929,0.6653195366666891,3,160.3025,8,0.08875,705.28,0.2201513812907169,100027,2037.628449620428,5,1067.96,44.64,0.2375,73.00625,45.58228571870728,155.47040272060016,0.0,3,1461.18,212.91164321929105,15,3,2.460178396133977e-05,17.911625000000015,1,26158
2856469-33201976_cohofg3uk65poe00v7ig_1713604544_2.2.0.2.801109,0.068752097364021,0.7748730953067994,0,225.92,6,0.13,693.16,0.1188993458468525,100006,2534.7877699805067,5,496.39,27.29,0.2633333333333333,53.696666666666665,43.113883246802,137.39972841972823,69.0,6,1355.52,284.0084008426065,7,3,0.0018175211961667,20.60466666666668,1,32669
2856469-41809232_cojuf3ruk65poe20vd1g_1713891215_2.2.0.2.801109,0.0656038526049462,0.6807471805192687,6,172.04714285714286,7,0.2699999999999999,144.15,0.191957783678742,100006,2183.4759159718224,3,609.32,28.6,0.4557142857142857,42.26142857142857,28.518177391528464,99.04750010173468,11.0,1,1204.32,406.5760219347943,3,2,0.0328462815350927,15.69157142857143,1,52105
